accession	tax_id	scientific_name	last_updated	base_count	first_public	description
AY044128	98362	Drosophila ruberrima	2006-11-14	720	2002-08-06	Drosophila ruberrima alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.
AY044129	157057	Drosophila neohypocausta	2006-11-14	747	2002-08-06	Drosophila neohypocausta alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.
AY154841	7263	Drosophila arizonae	2005-04-16	879	2003-03-03	Drosophila arizonae strain ARTU 14 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
AY154858	7263	Drosophila arizonae	2005-04-16	880	2003-03-03	Drosophila arizonae strain ARTU 14 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
AB669887	137074	Drosophila mayri	2014-01-02	836	2014-01-02	Drosophila mayri Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0591.01.
AB669888	137076	Drosophila orosa	2014-01-02	839	2014-01-02	Drosophila orosa Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0611.00.
AY154846	7263	Drosophila arizonae	2005-04-16	879	2003-03-03	Drosophila arizonae strain ARTU 36 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
M17830	7227	Drosophila melanogaster	2006-11-14	2722	1991-07-01	D.melanogaster (strain Fr-S) alcohol dehydrogenase gene (allele Adh-S), complete cds.
M17832	7227	Drosophila melanogaster	2006-11-14	2727	1991-07-01	D.melanogaster (strain Ja-S) alcohol dehydrogenase gene (allele Adh-S), complete cds.
M17836	7227	Drosophila melanogaster	2006-11-14	2770	1991-07-01	D.melanogaster (strain Af-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.
AY154840	7263	Drosophila arizonae	2005-04-16	878	2003-03-03	Drosophila arizonae strain ARTU 10 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
AB669855	94109	Drosophila watanabei	2014-01-02	825	2014-01-02	Drosophila watanabei Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0531.02.
AB932645	133978	Drosophila acutilabella	2014-10-26	845	2014-10-26	Drosophila acutilabella Adh gene for alcohol dehydrogenase, partial cds, strain: 15181-2171.10.
AY044124	88883	Drosophila kohkoa	2006-11-14	725	2002-08-06	Drosophila kohkoa alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.
AY044125	157059	Drosophila siamana	2006-11-14	725	2002-08-06	Drosophila siamana alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.
AY154853	7263	Drosophila arizonae	2005-04-16	880	2003-03-03	Drosophila arizonae strain AR00 4 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
AY340289	40366	Drosophila americana	2005-04-16	852	2003-08-13	Drosophila americana pop-variant NN00.04-8X alcohol dehydrogenase (Adh) gene, partial cds.
AB932647	30017	Drosophila arawakana	2014-10-26	838	2014-10-26	Drosophila arawakana Adh gene for alcohol dehydrogenase, partial cds, strain: 15182-2261.03.
AB194428	300357	Drosophila merina	2006-02-27	1800	2005-05-07	Drosophila merina Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.
AF045114	30047	Drosophila sturtevanti	2006-11-14	405	1998-06-02	Drosophila sturtevanti strain 14043-0871.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.
AF045120	30039	Drosophila neocordata	2006-11-14	405	1998-06-02	Drosophila neocordata strain 14041-0831.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.
AY154831	7230	Drosophila mojavensis	2005-04-16	880	2003-03-03	Drosophila mojavensis strain MJBC 47.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
AF045118	30042	Drosophila prosaltans	2006-11-14	405	1998-06-02	Drosophila prosaltans strain 14045-0901.4 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.
AY154833	7230	Drosophila mojavensis	2005-04-16	880	2003-03-03	Drosophila mojavensis strain MJBC 95.1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
AY154871	7230	Drosophila mojavensis	2005-04-16	880	2003-03-03	Drosophila mojavensis strain MJBC 103.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
AY154873	7230	Drosophila mojavensis	2005-04-16	880	2003-03-03	Drosophila mojavensis strain MJBC 115.4 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
AY154875	7230	Drosophila mojavensis	2005-04-16	878	2003-03-03	Drosophila mojavensis strain MJBC 202.2 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
AY165542	47314	Drosophila novamexicana	2006-11-14	743	2003-05-01	Drosophila novamexicana alcohol dehydrogenase (Adh) gene, exons 1, 2, and 3 and partial cds.
AB194424	296643	Drosophila pseudoananassae nigrens	2006-02-27	1779	2005-05-07	Drosophila pseudoananassae nigrens Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.
AF348878	47315	Drosophila auraria	2006-11-14	667	2001-04-16	Drosophila auraria strain WK alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.
AF348885	137068	Drosophila subauraria	2006-11-14	667	2001-04-16	Drosophila subauraria strain SP alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.
AY279325	7233	Drosophila orena	2006-11-14	1724	2004-03-31	Drosophila orena alcohol dehydrogenase (Adh) gene, partial cds and alcohol dehydrogenase related (Adhr) gene, complete cds.
AY238778	7229	Drosophila miranda	2005-04-16	2042	2003-04-08	Drosophila miranda strain SP235 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AY238777	7229	Drosophila miranda	2005-04-16	2042	2003-04-08	Drosophila miranda strain SP138 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
DQ363234	111875	Drosophila jambulina	2006-05-25	546	2006-05-25	Drosophila jambulina Adh (Adh) gene, partial cds.
EU877944	7217	Drosophila ananassae	2008-12-16	859	2008-08-06	Drosophila ananassae isolate 26ADH ADH (adh) gene, complete cds.
EU877945	7217	Drosophila ananassae	2008-12-16	823	2008-08-06	Drosophila ananassae isolate 20ADH ADH (adh) gene, partial cds.
EU877937	7217	Drosophila ananassae	2008-12-16	821	2008-08-06	Drosophila ananassae isolate 30ADH ADH (adh) gene, partial cds.
EU877942	7217	Drosophila ananassae	2008-12-16	856	2008-08-06	Drosophila ananassae isolate 28ADH ADH (adh) gene, partial cds.
EF136978	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate FP99.09 Adh (Adh) gene, partial cds.
EF136993	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate SB02.09 Adh (Adh) gene, partial cds.
EF136994	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate SB02.10 Adh (Adh) gene, partial cds.
EF136997	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate SB02.17 Adh (Adh) gene, partial cds.
X60112	30013	Drosophila madeirensis	2006-11-14	3881	1993-08-25	D.madeirensis Adh and Adh-dup genes for alcohol dehydrogenase
EF137000	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate IR04.04 Adh (Adh) gene, partial cds.
EF136971	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate FP99.29 Adh (Adh) gene, partial cds.
EF136992	40366	Drosophila americana	2007-09-11	840	2006-12-24	Drosophila americana isolate SB02.08 Adh (Adh) gene, partial cds.
X60113	7266	Drosophila guanche	2006-11-14	4433	1993-08-25	D.guanche Adh and Adh-dup genes for alcohol dehydrogenase
AF175219	7227	Drosophila melanogaster	1999-12-21	951	1999-10-06	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k37 allele, complete cds.
M97638	7250	Drosophila immigrans	2006-11-14	3142	1993-06-05	Drosophila immigrans alcohol dehydrogenase (Adh and Adh-dup) genes, complete cds.
U64530	7237	Drosophila pseudoobscura	2005-04-18	3456	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS254 allele, complete cds.
U64552	7237	Drosophila pseudoobscura	2005-04-18	3490	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS336 allele, complete cds.
AF175214	7227	Drosophila melanogaster	1999-12-21	951	1999-10-06	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h21 allele, complete cds.
U64540	7237	Drosophila pseudoobscura	2005-04-18	3475	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS296 allele, complete cds.
U64541	7237	Drosophila pseudoobscura	2005-04-18	3500	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS301 allele, complete cds.
U64525	7237	Drosophila pseudoobscura	2005-04-18	3472	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS236 allele, complete cds.
U64534	7237	Drosophila pseudoobscura	2005-04-18	3477	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS268 allele, complete cds.
L26040	7253	Drosophila mercatorum	2000-03-04	1183	1993-11-13	Drosophila mercatorum adh pseudogene.
MN267961	55946	Drosophila recens	2019-08-23	552	2019-08-23	Drosophila recens isolate R_CA_5 ADH-related protein (ADH-R) gene, partial cds.
MN268005	193351	Drosophila transversa	2019-08-23	552	2019-08-23	Drosophila transversa isolate T_LA ADH-related protein (ADH-R) gene, partial cds.
MN267964	55946	Drosophila recens	2019-08-23	552	2019-08-23	Drosophila recens isolate R_SM_2 ADH-related protein (ADH-R) gene, partial cds.
MN267966	55946	Drosophila recens	2019-08-23	552	2019-08-23	Drosophila recens isolate R_HI_3 ADH-related protein (ADH-R) gene, partial cds.
MN267992	198725	Drosophila subquinaria	2019-08-23	552	2019-08-23	Drosophila subquinaria isolate S_KA_85 ADH-related protein (ADH-R) gene, partial cds.
MN267965	55946	Drosophila recens	2019-08-23	552	2019-08-23	Drosophila recens isolate R_SM_28 ADH-related protein (ADH-R) gene, partial cds.
MN267973	55946	Drosophila recens	2019-08-23	552	2019-08-23	Drosophila recens isolate R_NB_3 ADH-related protein (ADH-R) gene, partial cds.
MN267985	198725	Drosophila subquinaria	2019-08-23	552	2019-08-23	Drosophila subquinaria isolate S_HI_14 ADH-related protein (ADH-R) gene, partial cds.
AF006565	7234	Drosophila persimilis	2005-04-15	3462	1997-09-11	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.
LC165381	1052065	Drosophila hypercephala	2019-06-04	555	2019-06-04	Drosophila hypercephala Adh gene, partial cds.
X66526	7263	Drosophila arizonae	1994-04-01	225	1994-04-01	D.arizona Adh-1 promoter region
X13812	7262	Drosophila affinidisjuncta	2006-11-14	3886	1992-04-21	D.affinidisjuncta Adh gene for alcohol dehydrogenase
X62223	7237	Drosophila pseudoobscura	2006-11-14	3477	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62229	7237	Drosophila pseudoobscura	2006-11-14	3494	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62210	7237	Drosophila pseudoobscura	2006-11-14	3454	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62217	7237	Drosophila pseudoobscura	2006-11-14	3468	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62235	7237	Drosophila pseudoobscura	2006-11-14	3479	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62190	7237	Drosophila pseudoobscura	2006-11-14	3485	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62218	7237	Drosophila pseudoobscura	2006-11-14	3486	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62224	7237	Drosophila pseudoobscura	2006-11-14	3474	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64487	7237	Drosophila pseudoobscura	2006-11-14	3474	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64468	7237	Drosophila pseudoobscura	2006-11-14	3476	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62221	7237	Drosophila pseudoobscura	2006-11-14	3483	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62232	7237	Drosophila pseudoobscura	2006-11-14	3499	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64470	7237	Drosophila pseudoobscura	2006-11-14	3498	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X55390	7241	Drosophila subobscura	2004-09-09	1611	1992-12-17	D.pseudobscura DNA for Adh retrosequence 135
X55391	7241	Drosophila subobscura	2004-09-09	3700	1992-12-17	D.subobscura DNA for Adh retrosequence 812
X62211	7237	Drosophila pseudoobscura	2006-11-14	3475	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64476	7237	Drosophila pseudoobscura	2006-11-14	3457	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62183	7237	Drosophila pseudoobscura	2006-11-14	3499	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62196	7237	Drosophila pseudoobscura	2006-11-14	3479	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
AY006415	32382	Drosophila heteroneura	2005-09-26	510	2001-09-04	Drosophila heteroneura alcohol dehydrogenase (Adh) gene, partial cds.
AY750119	65966	Drosophila tsigana	2006-07-20	911	2005-12-31	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.
AY750145	311478	Drosophila bai	2006-07-20	911	2005-12-31	Drosophila bai alcohol dehydrogenase (Adh) gene, partial cds.
DQ471631	381453	Drosophila beppui	2006-07-20	711	2006-07-20	Drosophila beppui alcohol dehydrogenase (Adh) gene, partial cds.
DQ471660	7224	Drosophila hydei	2006-07-20	711	2006-07-20	Drosophila hydei alcohol dehydrogenase (Adh) gene, partial cds.
AY750131	311475	Drosophila yunnanensis	2006-07-20	911	2005-12-31	Drosophila yunnanensis alcohol dehydrogenase (Adh) gene, partial cds.
HQ631475	111875	Drosophila jambulina	2012-01-02	290	2011-08-30	Drosophila jambulina alcohol dehydrogenase (adh) gene, partial cds.
HQ631480	307242	Drosophila ohnishii	2012-01-02	290	2011-08-30	Drosophila ohnishii alcohol dehydrogenase (adh) gene, partial cds.
LC165373	47315	Drosophila auraria	2019-06-04	558	2019-06-04	Drosophila auraria Adh gene, partial cds, strain: A662.
X68164	7237	Drosophila pseudoobscura	2006-11-14	3443	1992-10-08	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS309)
AY750137	311482	Drosophila pseudosordidula	2006-07-20	911	2005-12-31	Drosophila pseudosordidula alcohol dehydrogenase (Adh) gene, partial cds.
HQ631478	233251	Drosophila madikerii	2012-01-02	290	2011-08-30	Drosophila madikerii alcohol dehydrogenase (adh) gene, partial cds.
LC165389	1870888	Drosophila oshimai	2019-06-04	359	2019-06-04	Drosophila oshimai Adh gene, partial cds, strain: MT1004.
M36580	7227	Drosophila melanogaster	2006-11-14	2686	1990-08-30	D.melanogaster alcohol dehydrogenase (Adh) gene, complete cds.
M60998	7229	Drosophila miranda	2006-11-14	3461	1992-04-30	Drosophila miranda alcohol dehydrogenase (adh) gene, complete cds.
AF059888	7221	Drosophila funebris	2005-04-15	290	1998-04-28	Drosophila funebris alcohol dehydrogenase (Adh) gene, partial cds.
AY750120	65966	Drosophila tsigana	2006-07-20	911	2005-12-31	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.
AY750126	30041	Drosophila polychaeta	2006-07-20	911	2005-12-31	Drosophila polychaeta alcohol dehydrogenase (Adh) gene, partial cds.
AF081357	7259	Drosophila tolteca	2005-04-15	425	1999-01-18	Drosophila tolteca alcohol dehydrogenase (Adh) gene, partial cds.
DQ471663	40371	Drosophila lummei	2006-07-20	711	2006-07-20	Drosophila lummei alcohol dehydrogenase (Adh) gene, partial cds.
AY006418	46895	Drosophila cyrtoloma	2005-09-26	510	2001-09-04	Drosophila cyrtoloma alcohol dehydrogenase (Adh) gene, partial cds.
AY750141	311478	Drosophila bai	2006-07-20	911	2005-12-31	Drosophila bai alcohol dehydrogenase (Adh) gene, partial cds.
DQ471635	381471	Drosophila quadrisetata	2006-07-20	711	2006-07-20	Drosophila quadrisetata alcohol dehydrogenase (Adh) gene, partial cds.
DQ471637	381475	Drosophila velox	2006-07-20	711	2006-07-20	Drosophila velox alcohol dehydrogenase (Adh) gene, partial cds.
U26844	40372	Drosophila americana texana	2005-04-17	950	1995-07-05	Drosophila texana alcohol dehydrogenase (Adh) gene, complete cds.
U26841	40369	Drosophila lacicola	2005-04-17	957	1995-06-30	Drosophila lacicola alcohol dehydrogenase (Adh) gene, complete cds.
GQ376033	244254	Drosophila bunnanda	2009-08-03	410	2009-08-02	Drosophila bunnanda alcohol dehydrogenase (ADH) gene, partial cds.
AB261139	66368	Drosophila guttifera	2007-11-03	845	2007-11-03	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.
AB932657	30031	Drosophila ornatifrons	2014-10-26	824	2014-10-26	Drosophila ornatifrons Adh gene for alcohol dehydrogenase, partial cds.
AB932665	119223	Drosophila orientacea	2015-01-14	857	2015-01-14	Drosophila orientacea Adh gene for alcohol dehydrogenase, partial cds.
AB932675	95625	Drosophila subpalustris	2014-10-26	849	2014-10-26	Drosophila subpalustris Adh gene for alcohol dehydrogenase, partial cds.
U95253	7260	Drosophila willistoni	2005-04-18	1172	1999-01-06	Drosophila willistoni W3L alcohol dehydrogenase (Adh) gene, complete cds.
X57375	7245	Drosophila yakuba	2006-11-14	975	1991-07-17	Drosophila yakuba (individual k) Adh gene for alcohol dehydrogenase
AB932649	106246	Drosophila brachynephros	2015-01-14	1100	2015-01-14	Drosophila brachynephros Adh gene for alcohol dehydrogenase, partial cds.
M37262	7262	Drosophila affinidisjuncta	2006-11-14	3886	1990-09-07	D.affinidisjuncta alcohol dehydrogenase (adh) gene, exons 1-4.
U26846	7244	Drosophila virilis	2006-11-14	13087	1995-06-22	Drosophila virilis alcohol dehydrogenase (Adh-1) gene, complete cds.
U76468	54075	Drosophila eohydei	2005-04-18	899	1996-11-19	Drosophila eohydei alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
X57369	7245	Drosophila yakuba	2006-11-14	975	1991-07-17	Drosophila yakuba (individual e) Adh gene for alcohol dehydrogenase
AB932658	66368	Drosophila guttifera	2014-10-26	845	2014-10-26	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.
AB932667	7283	Drosophila phalerata	2014-10-26	822	2014-10-26	Drosophila phalerata Adh gene for alcohol dehydrogenase, partial cds.
EU532132	529087	Drosophila tropicalis cubana	2010-01-21	590	2010-01-21	Drosophila tropicalis cubana alcohol dehydrogenase (Adh) gene, partial cds.
LC578831	95623	Drosophila palustris	2022-04-25	706	2022-04-03	Drosophila palustris Adh gene for alcohol dehydrogenase, partial cds.
AB932656	7221	Drosophila funebris	2014-10-26	845	2014-10-26	Drosophila funebris Adh gene for alcohol dehydrogenase, partial cds.
EU532131	529088	Drosophila tropicalis tropicalis	2010-01-21	560	2010-01-21	Drosophila tropicalis tropicalis alcohol dehydrogenase (Adh) gene, partial cds.
U95255	7260	Drosophila willistoni	2005-04-18	1174	1999-01-06	Drosophila willistoni Atlixco alcohol dehydrogenase (Adh) gene, complete cds.
X57373	7245	Drosophila yakuba	2006-11-14	975	1991-07-17	Drosophila yakuba (individual i) Adh gene for alcohol dehydrogenase
X78916	7227	Drosophila melanogaster	2006-11-14	33	1994-05-03	D.melanogaster Adh gene (null activity) exon1 intron2 boundary
U26840	40369	Drosophila lacicola	2005-04-17	957	1995-06-30	Drosophila lacicola alcohol dehydrogenase (Adh-2) gene, complete cds.
AY335197	46791	Drosophila sucinea	2005-04-16	781	2003-12-31	Drosophila sucinea clone Dsuc3 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471615	381448	Drosophila angor	2006-07-20	711	2006-07-20	Drosophila angor strain E132 alcohol dehydrogenase (Adh) gene, partial cds.
EU532127	46793	Drosophila paulistorum	2010-01-21	587	2010-01-21	Drosophila paulistorum from Guyana alcohol dehydrogenase (Adh) gene, partial cds.
MK017217	95625	Drosophila subpalustris	2018-12-05	495	2018-12-05	UNVERIFIED: Drosophila subpalustris adh-related-like (Adhr) gene, partial sequence.
MK017223	141217	Drosophila tripunctata	2018-12-05	495	2018-12-05	UNVERIFIED: Drosophila tripunctata adh-related-like (Adhr) gene, partial sequence.
U95261	7260	Drosophila willistoni	2005-04-18	1172	1999-01-06	Drosophila willistoni Manaus I alcohol dehydrogenase (Adh) gene, complete cds.
AF284475	7226	Drosophila mauritiana	2006-11-14	701	2000-11-02	Drosophila mauritiana strain 152 alcohol dehydrogenase (Adh) gene, partial cds.
AF284479	7226	Drosophila mauritiana	2006-11-14	703	2000-11-02	Drosophila mauritiana strain Lig74 alcohol dehydrogenase (Adh) gene, partial cds.
AY095949	7283	Drosophila phalerata	2008-12-16	430	2003-05-01	Drosophila phalerata isolate pha3 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471650	311475	Drosophila yunnanensis	2006-07-20	711	2006-07-20	Drosophila yunnanensis strain 244 alcohol dehydrogenase (Adh) gene, partial cds.
HQ110510	7271	Drosophila nebulosa	2011-06-02	794	2011-05-06	Drosophila nebulosa isolate D_nebu_c2 alcohol dehydrogenase (Adh) gene, partial cds.
LC165374	7249	Drosophila azteca	2019-06-04	559	2019-06-04	Drosophila azteca Adh gene, partial cds, strain: 14012-0171.03.
MK017200	133978	Drosophila acutilabella	2018-12-05	473	2018-12-05	UNVERIFIED: Drosophila acutilabella adh-related-like (Adhr) gene, partial sequence.
MK017202	106246	Drosophila brachynephros	2018-12-05	495	2018-12-05	UNVERIFIED: Drosophila brachynephros adh-related-like (Adhr) gene, partial sequence.
MK017210	198721	Drosophila nigromaculata	2018-12-05	495	2018-12-05	UNVERIFIED: Drosophila nigromaculata adh-related-like (Adhr) gene, partial sequence.
MK017211	198722	Drosophila occidentalis	2018-12-05	495	2018-12-05	UNVERIFIED: Drosophila occidentalis adh-related-like (Adhr) gene, partial sequence.
MK017214	95624	Drosophila quinaria	2018-12-05	495	2018-12-05	UNVERIFIED: Drosophila quinaria adh-related-like (Adhr) gene, partial sequence.
X78917	7227	Drosophila melanogaster	2008-10-23	96	1994-05-03	D.melanogaster Adh gene (fn46 mutant) for alcohol dehydrogenase (partial)
EU532130	46793	Drosophila paulistorum	2010-01-21	588	2010-01-21	Drosophila paulistorum from Colombia alcohol dehydrogenase (Adh) gene, partial cds.
HQ110509	7271	Drosophila nebulosa	2011-06-02	794	2011-05-06	Drosophila nebulosa isolate D_nebu_c1 alcohol dehydrogenase (Adh) gene, partial cds.
M62741	7263	Drosophila arizonae	2006-11-14	909	1991-07-11	D.arizonae alcohol dehydrogenase-2 (ADH-2) gene, complete cds.
M62851	7277	Drosophila wheeleri	2006-11-14	924	1991-04-10	D.wheeleri alcohol dehydrogenase-2 (ADH-2) gene, complete cds.
AY095944	126591	Drosophila curvispina	2008-12-16	443	2003-05-01	Drosophila curvispina isolate cur4 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471651	119604	Drosophila lacertosa	2006-07-20	711	2006-07-20	Drosophila lacertosa strain 239 alcohol dehydrogenase (Adh) gene, partial cds.
KX375415	125945	Drosophila biarmipes	2017-01-03	1022	2017-01-03	Drosophila biarmipes strain IND_DBR_U4 alcohol dehydrogenase (Adh) gene, complete cds.
M60979	7237	Drosophila pseudoobscura	2006-11-14	3481	1992-04-30	Drosophila pseudoobscura (strain AH43) alcohol dehydrogenase (adh) gene, complete cds.
MK017218	198725	Drosophila subquinaria	2018-12-05	495	2018-12-05	UNVERIFIED: Drosophila subquinaria adh-related-like (Adhr) gene, partial sequence.
DQ471626	30041	Drosophila polychaeta	2006-07-20	711	2006-07-20	Drosophila polychaeta strain X115 alcohol dehydrogenase (Adh) gene, partial cds.
U95264	7260	Drosophila willistoni	2005-04-18	1172	1999-01-06	Drosophila willistoni Manaus IV alcohol dehydrogenase (Adh) gene, complete cds.
U95262	7260	Drosophila willistoni	2005-04-18	1172	1999-01-06	Drosophila willistoni Manaus II alcohol dehydrogenase (Adh) gene, complete cds.
AB669832	1084812	Drosophila neoasahinai	2014-01-02	837	2014-01-02	Drosophila neoasahinai Adh gene for alcohol dehydrogenase, partial cds, strain: OKNH2K.
AB669851	111875	Drosophila jambulina	2014-01-02	831	2014-01-02	Drosophila jambulina Adh gene for alcohol dehydrogenase, partial cds, strain: F76.
AB669866	109356	Drosophila leontia	2014-01-02	832	2014-01-02	Drosophila leontia Adh gene for alcohol dehydrogenase, partial cds, strain: SWB196.
AF136657	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana G96.36X alcohol dehydrogenase (Adh) gene, partial cds.
AF459757	114631	Drosophila greeni	2006-11-14	290	2002-05-16	Drosophila greeni alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
LC057797	42062	Drosophila nasuta	2015-06-26	851	2015-06-26	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: K33.
LC057804	42062	Drosophila nasuta	2015-06-26	851	2015-06-26	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: TNR35.
AB669826	47315	Drosophila auraria	2014-01-02	843	2014-01-02	Drosophila auraria Adh gene for alcohol dehydrogenase, partial cds, strain: A662.
AB669837	137068	Drosophila subauraria	2014-01-02	842	2014-01-02	Drosophila subauraria Adh gene for alcohol dehydrogenase, partial cds, strain: ONM29.
AF136662	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana G96.46X alcohol dehydrogenase (Adh) gene, partial cds.
AF136691	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana G96.10Y alcohol dehydrogenase (Adh) gene, partial cds.
AF459770	46829	Drosophila birchii	2006-11-14	290	2002-05-16	Drosophila birchii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459776	34677	Drosophila tsacasi	2006-11-14	290	2002-05-16	Drosophila tsacasi alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459777	137353	Drosophila baimaii	2006-11-14	290	2002-05-16	Drosophila baimaii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
EF216311	7281	Drosophila microlabis	2010-09-07	370	2007-06-10	Drosophila microlabis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
KJ767238	7227	Drosophila melanogaster	2014-10-29	872	2014-09-04	Drosophila melanogaster strain Canton S alcohol dehydrogenase (Adh) gene, partial cds.
LC057779	7291	Drosophila albomicans	2015-06-26	846	2015-06-26	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: KKU204.
LC057803	42062	Drosophila nasuta	2015-06-26	851	2015-06-26	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: SS99.
AB669831	1084812	Drosophila neoasahinai	2014-01-02	838	2014-01-02	Drosophila neoasahinai Adh gene for alcohol dehydrogenase, partial cds, strain: KMJM37.
AB669836	137068	Drosophila subauraria	2014-01-02	842	2014-01-02	Drosophila subauraria Adh gene for alcohol dehydrogenase, partial cds, strain: KT4.
AB669854	60717	Drosophila punjabiensis	2014-01-02	836	2014-01-02	Drosophila punjabiensis Adh gene for alcohol dehydrogenase, partial cds, strain: NHO122.
AB669856	94109	Drosophila watanabei	2014-01-02	826	2014-01-02	Drosophila watanabei Adh gene for alcohol dehydrogenase, partial cds, strain: SWB248.
AF136685	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana G96.36Y alcohol dehydrogenase (Adh) gene, partial cds.
AF136690	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana G96.48Y alcohol dehydrogenase (Adh) gene, partial cds.
